,action,cost,state
122,[0.],-2.3421663003690934e-10,[1.15696026 0.87280713 3.14882196 0.07664744]
123,[0.],-3.6064889798836577e-10,[1.16568833 0.87183671 3.14958844 0.07729865]
124,[0.],-5.338556824262951e-10,[1.1744067  0.87091301 3.15036142 0.07764488]
125,[0.],-7.637791719560815e-10,[1.18311583 0.87003635 3.15113787 0.07768375]
126,[0.],-1.0605723124170738e-09,[1.19181619 0.86920685 3.15191471 0.0774141 ]
127,[0.],-1.4341510250782723e-09,[1.20050826 0.86842445 3.15268885 0.07683597]
128,[0.],-1.893689802325046e-09,[1.2091925  0.86768891 3.15345721 0.07595063]
129,[0.],-2.447082484476116e-09,[1.21786939 0.86699983 3.15421672 0.07476054]
130,[0.],-3.1003940828978807e-09,[1.22653939 0.86635659 3.15496432 0.07326939]
131,[0.],-3.857332282839259e-09,[1.23520296 0.86575842 3.15569702 0.07148203]
132,[0.],-4.7187684936637425e-09,[1.24386054 0.86520436 3.15641184 0.06940452]
133,[0.],-5.682337860761718e-09,[1.25251258 0.86469329 3.15710588 0.06704408]
134,[0.],-6.742145457975874e-09,[1.26115952 0.86422391 3.15777632 0.06440905]
135,[0.],-7.888601995531029e-09,[1.26980176 0.86379476 3.15842041 0.06150888]
136,[0.],-9.108406962515151e-09,[1.2784397  0.86340421 3.1590355  0.05835409]
137,[0.],-1.0384690432909414e-08,[1.28707375 0.8630505  3.15961904 0.05495624]
138,[0.],-1.1697317140187237e-08,[1.29570425 0.86273169 3.16016861 0.05132788]
139,[0.],-1.302334827545566e-08,[1.30433157 0.86244574 3.16068188 0.0474825 ]
140,[0.],-1.4337648236174633e-08,[1.31295603 0.86219045 3.16115671 0.04343448]
141,[0.],-1.5613615712593046e-08,[1.32157793 0.86196351 3.16159105 0.03919907]
142,[0.],-1.68240114991834e-08,[1.33019757 0.86176248 3.16198304 0.03479226]
143,[0.],-1.794184967025142e-08,[1.33881519 0.86158483 3.16233097 0.03023079]
144,[0.],-1.8941314612642362e-08,[1.34743104 0.86142793 3.16263328 0.02553206]
145,[0.],-1.979866412200916e-08,[1.35604532 0.86128907 3.1628886  0.02071406]
146,[0.],-2.0493078502378876e-08,[1.36465821 0.86116544 3.16309574 0.0157953 ]
147,[0.],-2.1007417404967287e-08,[1.37326986 0.86105419 3.16325369 0.01079476]
148,[0.],-2.1328849928840796e-08,[1.3818804  0.8609524  3.16336164 0.00573179]
149,[0.],-2.1449329095773276e-08,[1.39048993e+00 8.60857133e-01 3.16341896e+00 6.26053175e-04]
150,[0.],-2.1365888917570302e-08,[ 1.3990985   0.86076538  3.16342522 -0.00450256]
151,[0.],-2.108075051765226e-08,[ 1.40770615  0.86067415  3.16338019 -0.00963401]
